diagnostic_code,valid_for_coding,category,sub_category,description,record_creation
P70.8,Y,P00-P96,P70-P74,Other transitory disorders of carbohydrate metabolism of fetus and newborn,2014-11-19 17:21:23.996408
P71.8,Y,P00-P96,P70-P74,Other transitory neonatal disorders of calcium and magnesium metabolism,2014-11-19 17:21:23.996408
P72.9,Y,P00-P96,P70-P74,"Transitory neonatal endocrine disorder, unspecified",2014-11-19 17:21:23.996408
P74.4,Y,P00-P96,P70-P74,Other transitory electrolyte disturbances of newborn,2014-11-19 17:21:23.996408
P76.1,Y,P00-P96,P75-P78,Transitory ileus of newborn,2014-11-19 17:21:23.996408
P77.,Y,P00-P96,P75-P78,Necrotizing enterocolitis of fetus and newborn,2014-11-19 17:21:23.996408
P78.2,Y,P00-P96,P75-P78,Neonatal haematemesis and melaena due to swallowed maternal blood,2014-11-19 17:21:23.996408
P81.,N,P00-P96,P80-P83,Other disturbances of temperature regulation of newborn,2014-11-19 17:21:23.996408
P83.1,Y,P00-P96,P80-P83,Neonatal erythema toxicum,2014-11-19 17:21:23.996408
P83.6,Y,P00-P96,P80-P83,Umbilical polyp of newborn,2014-11-19 17:21:23.996408
P91.,N,P00-P96,P90-P96,Other disturbances of cerebral status of newborn,2014-11-19 17:21:23.996408
P91.6,Y,P00-P96,P90-P96,Hypoxic ischaemic encephalopathy of newborn,2014-11-19 17:21:23.996408
P92.1,Y,P00-P96,P90-P96,Regurgitation and rumination in newborn,2014-11-19 17:21:23.996408
P92.5,Y,P00-P96,P90-P96,Neonatal difficulty in feeding at breast,2014-11-19 17:21:23.996408
P93.,Y,P00-P96,P90-P96,Reactions and intoxications due to drugs administered to fetus and newborn,2014-11-19 17:21:23.996408
P94.,N,P00-P96,P90-P96,Disorders of muscle tone of newborn,2014-11-19 17:21:23.996408
P94.8,Y,P00-P96,P90-P96,Other disorders of muscle tone of newborn,2014-11-19 17:21:23.996408
P96.1,Y,P00-P96,P90-P96,Neonatal withdrawal symptoms from maternal use of drugs of addiction,2014-11-19 17:21:23.996408
P96.8,Y,P00-P96,P90-P96,Other specified conditions originating in the perinatal period,2014-11-19 17:21:23.996408
Q01.1,Y,Q00-Q99,Q00-Q07,Nasofrontal encephalocele,2014-11-19 17:21:23.996408
Q03.,N,Q00-Q99,Q00-Q07,Congenital hydrocephalus,2014-11-19 17:21:23.996408
Q03.9,Y,Q00-Q99,Q00-Q07,"Congenital hydrocephalus, unspecified",2014-11-19 17:21:23.996408
Q04.3,Y,Q00-Q99,Q00-Q07,Other reduction deformities of brain,2014-11-19 17:21:23.996408
Q04.8,Y,Q00-Q99,Q00-Q07,Other specified congenital malformations of brain,2014-11-19 17:21:23.996408
Q05.3,Y,Q00-Q99,Q00-Q07,Sacral spina bifida with hydrocephalus,2014-11-19 17:21:23.996408
Q05.8,Y,Q00-Q99,Q00-Q07,Sacral spina bifida without hydrocephalus,2014-11-19 17:21:23.996408
Q06.3,Y,Q00-Q99,Q00-Q07,Other congenital cauda equina malformations,2014-11-19 17:21:23.996408
Q07.,N,Q00-Q99,Q00-Q07,Other congenital malformations of nervous system,2014-11-19 17:21:23.996408
Q10.2,Y,Q00-Q99,Q10-Q18,Congenital entropion,2014-11-19 17:21:23.996408
Q10.5,Y,Q00-Q99,Q10-Q18,Congenital stenosis and stricture of lacrimal duct,2014-11-19 17:21:23.996408
Q11.3,Y,Q00-Q99,Q10-Q18,Macrophthalmos,2014-11-19 17:21:23.996408
Q12.1,Y,Q00-Q99,Q10-Q18,Congenital displaced lens,2014-11-19 17:21:23.996408
Q12.9,Y,Q00-Q99,Q10-Q18,"Congenital lens malformation, unspecified",2014-11-19 17:21:23.996408
Q13.3,Y,Q00-Q99,Q10-Q18,Congenital corneal opacity,2014-11-19 17:21:23.996408
Q13.8,Y,Q00-Q99,Q10-Q18,Other congenital malformations of anterior segment of eye,2014-11-19 17:21:23.996408
Q14.2,Y,Q00-Q99,Q10-Q18,Congenital malformation of optic disc,2014-11-19 17:21:23.996408
Q14.8,Y,Q00-Q99,Q10-Q18,Other congenital malformations of posterior segment of eye,2014-11-19 17:21:23.996408
Q16.,N,Q00-Q99,Q10-Q18,Congenital malformations of ear causing impairment of hearing,2014-11-19 17:21:23.996408
Q16.5,Y,Q00-Q99,Q10-Q18,Congenital malformation of inner ear,2014-11-19 17:21:23.996408
Q17.3,Y,Q00-Q99,Q10-Q18,Other misshapen ear,2014-11-19 17:21:23.996408
Q17.8,Y,Q00-Q99,Q10-Q18,Other specified congenital malformations of ear,2014-11-19 17:21:23.996408
Q18.4,Y,Q00-Q99,Q10-Q18,Macrostomia,2014-11-19 17:21:23.996408
Q18.8,Y,Q00-Q99,Q10-Q18,Other specified congenital malformations of face and neck,2014-11-19 17:21:23.996408
Q20.2,Y,Q00-Q99,Q20-Q28,Double outlet left ventricle,2014-11-19 17:21:23.996408
Q20.8,Y,Q00-Q99,Q20-Q28,Other congenital malformations of cardiac chambers and connections,2014-11-19 17:21:23.996408
Q21.4,Y,Q00-Q99,Q20-Q28,Aortopulmonary septal defect,2014-11-19 17:21:23.996408
Q22.,N,Q00-Q99,Q20-Q28,Congenital malformations of pulmonary and tricuspid valves,2014-11-19 17:21:23.996408
Q22.6,Y,Q00-Q99,Q20-Q28,Hypoplastic right heart syndrome,2014-11-19 17:21:23.996408
Q23.1,Y,Q00-Q99,Q20-Q28,Congenital insufficiency of aortic valve,2014-11-19 17:21:23.996408
Q23.8,Y,Q00-Q99,Q20-Q28,Other congenital malformations of aortic and mitral valves,2014-11-19 17:21:23.996408
Q24.5,Y,Q00-Q99,Q20-Q28,Malformation of coronary vessels,2014-11-19 17:21:23.996408
Q25.,N,Q00-Q99,Q20-Q28,Congenital malformations of great arteries,2014-11-19 17:21:23.996408
Q25.5,Y,Q00-Q99,Q20-Q28,Atresia of pulmonary artery,2014-11-19 17:21:23.996408
Q25.9,Y,Q00-Q99,Q20-Q28,"Congenital malformation of great arteries, unspecified",2014-11-19 17:21:23.996408
Q26.3,Y,Q00-Q99,Q20-Q28,Partial anomalous pulmonary venous connection,2014-11-19 17:21:23.996408
Q26.4,Y,Q00-Q99,Q20-Q28,"Anomalous pulmonary venous connection, unspecified",2014-11-19 17:21:23.996408
Q27.0,Y,Q00-Q99,Q20-Q28,Congenital absence and hypoplasia of umbilical artery,2014-11-19 17:21:23.996408
Q27.8,Y,Q00-Q99,Q20-Q28,Other specified congenital malformations of peripheral vascular system,2014-11-19 17:21:23.996408
Q28.8,Y,Q00-Q99,Q20-Q28,Other specified congenital malformations of circulatory system,2014-11-19 17:21:23.996408
Q30.9,Y,Q00-Q99,Q30-Q34,"Congenital malformation of nose, unspecified",2014-11-19 17:21:23.996408
Q31.5,Y,Q00-Q99,Q30-Q34,Congenital laryngomalacia,2014-11-19 17:21:23.996408
Q32.,N,Q00-Q99,Q30-Q34,Congenital malformations of trachea and bronchus,2014-11-19 17:21:23.996408
Q33.,N,Q00-Q99,Q30-Q34,Congenital malformations of lung,2014-11-19 17:21:23.996408
Q33.4,Y,Q00-Q99,Q30-Q34,Congenital bronchiectasis,2014-11-19 17:21:23.996408
Q33.9,Y,Q00-Q99,Q30-Q34,"Congenital malformation of lung, unspecified",2014-11-19 17:21:23.996408
Q34.8,Y,Q00-Q99,Q30-Q34,Other specified congenital malformations of respiratory system,2014-11-19 17:21:23.996408
Q36.0,Y,Q00-Q99,Q35-Q37,"Cleft lip, bilateral",2014-11-19 17:21:23.996408
Q37.,N,Q00-Q99,Q35-Q37,Cleft palate with cleft lip,2014-11-19 17:21:23.996408
Q37.3,Y,Q00-Q99,Q35-Q37,Cleft soft palate with unilateral cleft lip,2014-11-19 17:21:23.996408
Q38.,N,Q00-Q99,Q38-Q45,"Other congenital malformations of tongue, mouth and pharynx",2014-11-19 17:21:23.996408
Q38.5,Y,Q00-Q99,Q38-Q45,"Congenital malformations of palate, not elsewhere classified",2014-11-19 17:21:23.996408
Q39.2,Y,Q00-Q99,Q38-Q45,Congenital tracheo-oesophageal fistula without atresia,2014-11-19 17:21:23.996408
Q39.9,Y,Q00-Q99,Q38-Q45,"Congenital malformation of oesophagus, unspecified",2014-11-19 17:21:23.996408
Q40.,N,Q00-Q99,Q38-Q45,Other congenital malformations of upper alimentary tract,2014-11-19 17:21:23.996408
Q40.8,Y,Q00-Q99,Q38-Q45,Other specified congenital malformations of upper alimentary tract,2014-11-19 17:21:23.996408
Q41.8,Y,Q00-Q99,Q38-Q45,"Congenital absence, atresia and stenosis of other specified parts of small intestine",2014-11-19 17:21:23.996408
Q42.9,Y,Q00-Q99,Q38-Q45,"Congenital absence, atresia and stenosis of large intestine, part unspecified",2014-11-19 17:21:23.996408
Q43.7,Y,Q00-Q99,Q38-Q45,Persistent cloaca,2014-11-19 17:21:23.996408
Q44.,N,Q00-Q99,Q38-Q45,"Congenital malformations of gallbladder, bile ducts and liver",2014-11-19 17:21:23.996408
Q44.7,Y,Q00-Q99,Q38-Q45,Other congenital malformations of liver,2014-11-19 17:21:23.996408
Q45.2,Y,Q00-Q99,Q38-Q45,Congenital pancreatic cyst,2014-11-19 17:21:23.996408
Q45.9,Y,Q00-Q99,Q38-Q45,"Congenital malformation of digestive system, unspecified",2014-11-19 17:21:23.996408
Q50.6,Y,Q00-Q99,Q50-Q56,Other congenital malformations of fallopian tube and broad ligament,2014-11-19 17:21:23.996408
Q51.5,Y,Q00-Q99,Q50-Q56,Agenesis and aplasia of cervix,2014-11-19 17:21:23.996408
Q51.7,Y,Q00-Q99,Q50-Q56,Congenital fistulae between uterus and digestive and urinary tracts,2014-11-19 17:21:23.996408
Q52.4,Y,Q00-Q99,Q50-Q56,Other congenital malformations of vagina,2014-11-19 17:21:23.996408
Q52.9,Y,Q00-Q99,Q50-Q56,"Congenital malformation of female genitalia, unspecified",2014-11-19 17:21:23.996408
Q54.1,Y,Q00-Q99,Q50-Q56,"Hypospadias, penile",2014-11-19 17:21:23.996408
Q54.8,Y,Q00-Q99,Q50-Q56,Other hypospadias,2014-11-19 17:21:23.996408
Q55.,N,Q00-Q99,Q50-Q56,Other congenital malformations of male genital organs,2014-11-19 17:21:23.996408
Q55.2,Y,Q00-Q99,Q50-Q56,Other congenital malformations of testis and scrotum,2014-11-19 17:21:23.996408
Q55.8,Y,Q00-Q99,Q50-Q56,Other specified congenital malformations of male genital organs,2014-11-19 17:21:23.996408
Q60.,N,Q00-Q99,Q60-Q64,Renal agenesis and other reduction defects of kidney,2014-11-19 17:21:23.996408
Q60.5,Y,Q00-Q99,Q60-Q64,"Renal hypoplasia, unspecified",2014-11-19 17:21:23.996408
Q61.1,Y,Q00-Q99,Q60-Q64,"Polycystic kidney, autosomal recessive",2014-11-19 17:21:23.996408
Q61.9,Y,Q00-Q99,Q60-Q64,"Cystic kidney disease, unspecified",2014-11-19 17:21:23.996408
Q62.3,Y,Q00-Q99,Q60-Q64,Other obstructive defects of renal pelvis and ureter,2014-11-19 17:21:23.996408
Q62.8,Y,Q00-Q99,Q60-Q64,Other congenital malformations of ureter,2014-11-19 17:21:23.996408
Q63.8,Y,Q00-Q99,Q60-Q64,Other specified congenital malformations of kidney,2014-11-19 17:21:23.996408
Q64.2,Y,Q00-Q99,Q60-Q64,Congenital posterior urethral valves,2014-11-19 17:21:23.996408
Q64.7,Y,Q00-Q99,Q60-Q64,Other congenital malformations of bladder and urethra,2014-11-19 17:21:23.996408
Q65.2,Y,Q00-Q99,Q65-Q79,"Congenital dislocation of hip, unspecified",2014-11-19 17:21:23.996408
Q65.8,Y,Q00-Q99,Q65-Q79,Other congenital deformities of hip,2014-11-19 17:21:23.996408
Q66.3,Y,Q00-Q99,Q65-Q79,Other congenital varus deformities of feet,2014-11-19 17:21:23.996408
Q66.8,Y,Q00-Q99,Q65-Q79,Other congenital deformities of feet,2014-11-19 17:21:23.996408
Q67.3,Y,Q00-Q99,Q65-Q79,Plagiocephaly,2014-11-19 17:21:23.996408
Q67.6,Y,Q00-Q99,Q65-Q79,Pectus excavatum,2014-11-19 17:21:23.996408
Q68.,N,Q00-Q99,Q65-Q79,Other congenital musculoskeletal deformities,2014-11-19 17:21:23.996408
Q68.5,Y,Q00-Q99,Q65-Q79,"Congenital bowing of long bones of leg, unspecified",2014-11-19 17:21:23.996408
Q69.1,Y,Q00-Q99,Q65-Q79,Accessory thumb(s),2014-11-19 17:21:23.996408
Q70.1,Y,Q00-Q99,Q65-Q79,Webbed fingers,2014-11-19 17:21:23.996408
Q70.9,Y,Q00-Q99,Q65-Q79,"Syndactyly, unspecified",2014-11-19 17:21:23.996408
Q71.0,Y,Q00-Q99,Q65-Q79,Congenital complete absence of upper limb(s),2014-11-19 17:21:23.996408
Q71.8,Y,Q00-Q99,Q65-Q79,Other reduction defects of upper limb(s),2014-11-19 17:21:23.996408
Q72.1,Y,Q00-Q99,Q65-Q79,Congenital absence of thigh and lower leg with foot present,2014-11-19 17:21:23.996408
Q72.8,Y,Q00-Q99,Q65-Q79,Other reduction defects of lower limb(s),2014-11-19 17:21:23.996408
Q73.8,Y,Q00-Q99,Q65-Q79,Other reduction defects of unspecified limb(s),2014-11-19 17:21:23.996408
Q74.2,Y,Q00-Q99,Q65-Q79,"Other congenital malformations of lower limb(s), including pelvic girdle",2014-11-19 17:21:23.996408
Q75.4,Y,Q00-Q99,Q65-Q79,Mandibulofacial dysostosis,2014-11-19 17:21:23.996408
Q75.8,Y,Q00-Q99,Q65-Q79,Other specified congenital malformations of skull and face bones,2014-11-19 17:21:23.996408
Q76.4,Y,Q00-Q99,Q65-Q79,"Other congenital malformations of spine, not associated with scoliosis",2014-11-19 17:21:23.996408
Q77.2,Y,Q00-Q99,Q65-Q79,Short rib syndrome,2014-11-19 17:21:23.996408
Q77.6,Y,Q00-Q99,Q65-Q79,Chondroectodermal dysplasia,2014-11-19 17:21:23.996408
Q77.8,Y,Q00-Q99,Q65-Q79,Other osteochondrodysplasia with defects of growth of tubular bones and spine,2014-11-19 17:21:23.996408
Q78.6,Y,Q00-Q99,Q65-Q79,Multiple congenital exostoses,2014-11-19 17:21:23.996408
Q79.,N,Q00-Q99,Q65-Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified",2014-11-19 17:21:23.996408
Q79.8,Y,Q00-Q99,Q65-Q79,Other congenital malformations of musculoskeletal system,2014-11-19 17:21:23.996408
Q80.3,Y,Q00-Q99,Q80-Q89,Congenital bullous ichthyosiform erythroderma,2014-11-19 17:21:23.996408
Q80.8,Y,Q00-Q99,Q80-Q89,Other congenital ichthyosis,2014-11-19 17:21:23.996408
Q81.1,Y,Q00-Q99,Q80-Q89,Epidermolysis bullosa letalis,2014-11-19 17:21:23.996408
Q82.,N,Q00-Q99,Q80-Q89,Other congenital malformations of skin,2014-11-19 17:21:23.996408
Q82.4,Y,Q00-Q99,Q80-Q89,Ectodermal dysplasia (anhidrotic),2014-11-19 17:21:23.996408
Q83.0,Y,Q00-Q99,Q80-Q89,Congenital absence of breast with absent nipple,2014-11-19 17:21:23.996408
Q83.9,Y,Q00-Q99,Q80-Q89,"Congenital malformation of breast, unspecified",2014-11-19 17:21:23.996408
Q84.5,Y,Q00-Q99,Q80-Q89,Enlarged and hypertrophic nails,2014-11-19 17:21:23.996408
Q84.9,Y,Q00-Q99,Q80-Q89,"Congenital malformation of integument, unspecified",2014-11-19 17:21:23.996408
Q86.,N,Q00-Q99,Q80-Q89,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified",2014-11-19 17:21:23.996408
Q87.0,Y,Q00-Q99,Q80-Q89,Congenital malformation syndromes predominantly affecting facial appearance,2014-11-19 17:21:23.996408
Q89.1,Y,Q00-Q99,Q80-Q89,Congenital malformations of adrenal gland,2014-11-19 17:21:23.996408
Q89.7,Y,Q00-Q99,Q80-Q89,"Multiple congenital malformations, not elsewhere classified",2014-11-19 17:21:23.996408
Q91.,N,Q00-Q99,Q90-Q99,Edwards syndrome and Patau syndrome,2014-11-19 17:21:23.996408
Q91.4,Y,Q00-Q99,Q90-Q99,"Trisomy 13, meiotic nondisjunction",2014-11-19 17:21:23.996408
Q92.,N,Q00-Q99,Q90-Q99,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified",2014-11-19 17:21:23.996408
Q92.7,Y,Q00-Q99,Q90-Q99,Triploidy and polyploidy,2014-11-19 17:21:23.996408
Q93.,N,Q00-Q99,Q90-Q99,"Monosomies and deletions from the autosomes, not elsewhere classified",2014-11-19 17:21:23.996408
Q93.5,Y,Q00-Q99,Q90-Q99,Other deletions of part of a chromosome,2014-11-19 17:21:23.996408
Q93.7,Y,Q00-Q99,Q90-Q99,Deletions with other complex rearrangements,2014-11-19 17:21:23.996408
Q95.2,Y,Q00-Q99,Q90-Q99,Balanced autosomal rearrangement in abnormal individual,2014-11-19 17:21:23.996408
Q95.9,Y,Q00-Q99,Q90-Q99,"Balanced rearrangement and structural marker, unspecified",2014-11-19 17:21:23.996408
Q96.4,Y,Q00-Q99,Q90-Q99,"Mosaicism, 45,X/other cell line(s) with abnormal sex chromosome",2014-11-19 17:21:23.996408
Q97.8,Y,Q00-Q99,Q90-Q99,"Other specified sex chromosome abnormalities, female phenotype",2014-11-19 17:21:23.996408
Q98.1,Y,Q00-Q99,Q90-Q99,"Klinefelter syndrome, male with more than two X chromosomes",2014-11-19 17:21:23.996408
Q98.8,Y,Q00-Q99,Q90-Q99,"Other specified sex chromosome abnormalities, male phenotype",2014-11-19 17:21:23.996408
Q99.9,Y,Q00-Q99,Q90-Q99,"Chromosomal abnormality, unspecified",2014-11-19 17:21:23.996408
R00.8,Y,R00-R99,R00-R09,Other and unspecified abnormalities of heart beat,2014-11-19 17:21:23.996408
R03.,N,R00-R99,R00-R09,"Abnormal blood-pressure reading, without diagnosis",2014-11-19 17:21:23.996408
R04.8,Y,R00-R99,R00-R09,Haemorrhage from other sites in respiratory passages,2014-11-19 17:21:23.996408
R06.2,Y,R00-R99,R00-R09,Wheezing,2014-11-19 17:21:23.996408
R06.5,Y,R00-R99,R00-R09,Mouth breathing,2014-11-19 17:21:23.996408
R06.8,Y,R00-R99,R00-R09,Other and unspecified abnormalities of breathing,2014-11-19 17:21:23.996408
R09.,N,R00-R99,R00-R09,Other symptoms and signs involving the circulatory and respiratory systems,2014-11-19 17:21:23.996408
R09.8,Y,R00-R99,R00-R09,Other specified symptoms and signs involving the circulatory and respiratory systems,2014-11-19 17:21:23.996408
R13.,Y,R00-R99,R10-R19,Dysphagia,2014-11-19 17:21:23.996408
R16.,N,R00-R99,R10-R19,"Hepatomegaly and splenomegaly, not elsewhere classified",2014-11-19 17:21:23.996408
R16.1,Y,R00-R99,R10-R19,"Splenomegaly, not elsewhere classified",2014-11-19 17:21:23.996408
R19.,N,R00-R99,R10-R19,Other symptoms and signs involving the digestive system and abdomen,2014-11-19 17:21:23.996408
R19.8,Y,R00-R99,R10-R19,Other specified symptoms and signs involving the digestive system and abdomen,2014-11-19 17:21:23.996408
R20.8,Y,R00-R99,R20-R23,Other and unspecified disturbances of skin sensation,2014-11-19 17:21:23.996408
R22.3,Y,R00-R99,R20-R23,"Localized swelling, mass and lump, upper limb",2014-11-19 17:21:23.996408
R23.2,Y,R00-R99,R20-R23,Flushing,2014-11-19 17:21:23.996408
R23.8,Y,R00-R99,R20-R23,Other and unspecified skin changes,2014-11-19 17:21:23.996408
R25.3,Y,R00-R99,R25-R29,Fasciculation,2014-11-19 17:21:23.996408
R26.1,Y,R00-R99,R25-R29,Paralytic gait,2014-11-19 17:21:23.996408
R26.8,Y,R00-R99,R25-R29,Other and unspecified abnormalities of gait and mobility,2014-11-19 17:21:23.996408
R29.,N,R00-R99,R25-R29,Other symptoms and signs involving the nervous and musculoskeletal systems,2014-11-19 17:21:23.996408
R29.8,Y,R00-R99,R25-R29,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,2014-11-19 17:21:23.996408
R39.,N,R00-R99,R30-R39,Other symptoms and signs involving the urinary system,2014-11-19 17:21:23.996408
R39.8,Y,R00-R99,R30-R39,Other and unspecified symptoms and signs involving the urinary system,2014-11-19 17:21:23.996408
R41.2,Y,R00-R99,R40-R46,Retrograde amnesia,2014-11-19 17:21:23.996408
R41.8,Y,R00-R99,R40-R46,Other and unspecified symptoms and signs involving cognitive functions and awareness,2014-11-19 17:21:23.996408
R44.,N,R00-R99,R40-R46,Other symptoms and signs involving general sensations and perceptions,2014-11-19 17:21:23.996408
R45.3,Y,R00-R99,R40-R46,Demoralization and apathy,2014-11-19 17:21:23.996408
R45.7,Y,R00-R99,R40-R46,"State of emotional shock and stress, unspecified",2014-11-19 17:21:23.996408
R46.,N,R00-R99,R40-R46,Symptoms and signs involving appearance and behaviour,2014-11-19 17:21:23.996408
R46.6,Y,R00-R99,R40-R46,Undue concern and preoccupation with stressful events,2014-11-19 17:21:23.996408
R47.8,Y,R00-R99,R47-R49,Other and unspecified speech disturbances,2014-11-19 17:21:23.996408
R48.8,Y,R00-R99,R47-R49,Other and unspecified symbolic dysfunctions,2014-11-19 17:21:23.996408
R49.8,Y,R00-R99,R47-R49,Other and unspecified voice disturbances,2014-11-19 17:21:23.996408
R52.,N,R00-R99,R50-R69,"Pain, not elsewhere classified",2014-11-19 17:21:23.996408
R53.,Y,R00-R99,R50-R69,Malaise and fatigue,2014-11-19 17:21:23.996408
R56.0,Y,R00-R99,R50-R69,Febrile convulsions,2014-11-19 17:21:23.996408
R57.2,Y,R00-R99,R50-R69,Septic shock,2014-11-19 17:21:23.996408
R58.,Y,R00-R99,R50-R69,"Haemorrhage, not elsewhere classified",2014-11-19 17:21:23.996408
R60.,N,R00-R99,R50-R69,"Oedema, not elsewhere classified",2014-11-19 17:21:23.996408
R61.0,Y,R00-R99,R50-R69,Localized hyperhidrosis,2014-11-19 17:21:23.996408
R62.,N,R00-R99,R50-R69,Lack of expected normal physiological development,2014-11-19 17:21:23.996408
R63.2,Y,R00-R99,R50-R69,Polyphagia,2014-11-19 17:21:23.996408
R63.6,Y,R00-R99,R50-R69,Insufficient intake of food and water due to self neglect,2014-11-19 17:21:23.996408
R65.0,Y,R00-R99,R50-R69,Systemic Inflammatory Response Syndrome of infectious origin without organ failure,2014-11-19 17:21:23.996408
R68.3,Y,R00-R99,R50-R69,Clubbing of fingers,2014-11-19 17:21:23.996408
R70.,N,R00-R99,R70-R79,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,2014-11-19 17:21:23.996408
R74.,N,R00-R99,R70-R79,Abnormal serum enzyme levels,2014-11-19 17:21:23.996408
R75.,Y,R00-R99,R70-R79,Laboratory evidence of human immunodeficiency virus [HIV],2014-11-19 17:21:23.996408
R76.1,Y,R00-R99,R70-R79,Abnormal reaction to tuberculin test,2014-11-19 17:21:23.996408
R77.1,Y,R00-R99,R70-R79,Abnormality of globulin,2014-11-19 17:21:23.996408
R77.8,Y,R00-R99,R70-R79,Other specified abnormalities of plasma proteins,2014-11-19 17:21:23.996408
R78.4,Y,R00-R99,R70-R79,Finding of other drugs of addictive potential in blood,2014-11-19 17:21:23.996408
R78.8,Y,R00-R99,R70-R79,"Finding of other specified substances, not normally found in blood",2014-11-19 17:21:23.996408
R82.0,Y,R00-R99,R80-R82,Chyluria,2014-11-19 17:21:23.996408
R82.4,Y,R00-R99,R80-R82,Acetonuria,2014-11-19 17:21:23.996408
R82.5,Y,R00-R99,R80-R82,"Elevated urine levels of drugs, medicaments and biological substances",2014-11-19 17:21:23.996408
R83.1,Y,R00-R99,R83-R89,Abnormal findings in cerebrospinal fluid: Abnormal level of hormones,2014-11-19 17:21:23.996408
R83.7,Y,R00-R99,R83-R89,Abnormal findings in cerebrospinal fluid: Abnormal histological findings,2014-11-19 17:21:23.996408
R84.2,Y,R00-R99,R83-R89,"Abnormal findings in specimens from respiratory organs and thorax: Abnormal level of other drugs, medicaments and biological substances",2014-11-19 17:21:23.996408
R85.1,Y,R00-R99,R83-R89,Abnormal findings in specimens from digestive organs and abdominal cavity: Abnormal level of hormones,2014-11-19 17:21:23.996408
R85.9,Y,R00-R99,R83-R89,Abnormal findings in specimens from digestive organs and abdominal cavity: Unspecified abnormal finding,2014-11-19 17:21:23.996408
R86.2,Y,R00-R99,R83-R89,"Abnormal findings in specimens from male genital organs: Abnormal level of other drugs, medicaments and biological substances",2014-11-19 17:21:23.996408
R87.0,Y,R00-R99,R83-R89,Abnormal findings in specimens from female genital organs: Abnormal level of enzymes,2014-11-19 17:21:23.996408
R87.7,Y,R00-R99,R83-R89,Abnormal findings in specimens from female genital organs: Abnormal histological findings,2014-11-19 17:21:23.996408
R89.2,Y,R00-R99,R83-R89,"Abnormal findings in specimens from other organs, systems and tissues: Abnormal level of other drugs, medicaments and biological substances",2014-11-19 17:21:23.996408
R93.0,Y,R00-R99,R90-R94,"Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified",2014-11-19 17:21:23.996408
R93.5,Y,R00-R99,R90-R94,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",2014-11-19 17:21:23.996408
R94.6,Y,R00-R99,R90-R94,Abnormal results of thyroid function studies,2014-11-19 17:21:23.996408
R96.1,Y,R00-R99,R95-R99,"Death occurring less than 24 hours from onset of symptoms, not otherwise explained",2014-11-19 17:21:23.996408
S00.,N,S00-T98,S00-S09,Superficial injury of head,2014-11-19 17:21:23.996408
S00.0,Y,S00-T98,S00-S09,Superficial injury of scalp,2014-11-19 17:21:23.996408
S00.4,Y,S00-T98,S00-S09,Superficial injury of ear,2014-11-19 17:21:23.996408
S00.9,Y,S00-T98,S00-S09,"Superficial injury of head, part unspecified",2014-11-19 17:21:23.996408
S01.4,Y,S00-T98,S00-S09,Open wound of cheek and temporomandibular area,2014-11-19 17:21:23.996408
S02.,N,S00-T98,S00-S09,Fracture of skull and facial bones,2014-11-19 17:21:23.996408
S02.4,Y,S00-T98,S00-S09,Fracture of malar and maxillary bones,2014-11-19 17:21:23.996408
S02.9,Y,S00-T98,S00-S09,"Fracture of skull and facial bones, part unspecified",2014-11-19 17:21:23.996408
S03.3,Y,S00-T98,S00-S09,Dislocation of other and unspecified parts of head,2014-11-19 17:21:23.996408
S04.3,Y,S00-T98,S00-S09,Injury of trigeminal nerve,2014-11-19 17:21:23.996408
S04.8,Y,S00-T98,S00-S09,Injury of other cranial nerves,2014-11-19 17:21:23.996408
S05.0,Y,S00-T98,S00-S09,Injury of conjunctiva and corneal abrasion without mention of foreign body,2014-11-19 17:21:23.996408
S05.9,Y,S00-T98,S00-S09,"Injury of eye and orbit, unspecified",2014-11-19 17:21:23.996408
S06.3,Y,S00-T98,S00-S09,Focal brain injury,2014-11-19 17:21:23.996408
S06.6,Y,S00-T98,S00-S09,Traumatic subarachnoid haemorrhage,2014-11-19 17:21:23.996408
S07.1,Y,S00-T98,S00-S09,Crushing injury of skull,2014-11-19 17:21:23.996408
S08.1,Y,S00-T98,S00-S09,Traumatic amputation of ear,2014-11-19 17:21:23.996408
S09.0,Y,S00-T98,S00-S09,"Injury of blood vessels of head, not elsewhere classified",2014-11-19 17:21:23.996408
S10.,N,S00-T98,S10-S19,Superficial injury of neck,2014-11-19 17:21:23.996408
S10.8,Y,S00-T98,S10-S19,Superficial injury of other parts of neck,2014-11-19 17:21:23.996408
S11.2,Y,S00-T98,S10-S19,Open wound involving pharynx and cervical oesophagus,2014-11-19 17:21:23.996408
S11.7,Y,S00-T98,S10-S19,Multiple open wounds of neck,2014-11-19 17:21:23.996408
S11.8,Y,S00-T98,S10-S19,Open wound of other parts of neck,2014-11-19 17:21:23.996408
S12.1,Y,S00-T98,S10-S19,Fracture of second cervical vertebra,2014-11-19 17:21:23.996408
S13.,N,S00-T98,S10-S19,"Dislocation, sprain and strain of joints and ligaments at neck level",2014-11-19 17:21:23.996408
